NumberofFloors,NumberofBuildings,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEnergyUse(kBtu),LargestPropertyUseTypeGFA,Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,BuildingType,Neighborhood,largestUseType_encode,BuildingAge
3.0,1.0,67236.0,8161.0,0.0,10.0,674227.0,67236.0,591327.0,82900.0,6.8,1,1,0,30.0
8.0,8.0,1926841.0,0.0,85.0,175.8999939,240119280.0,1355488.0,113488818.0,2410300.0,10908.7,2,1,2,21.0
5.0,1.0,90185.0,12611.0,0.0,85.30000305,8770639.0,55259.0,6777109.0,1993530.0,133.9,1,1,1,22.0
2.0,1.0,208981.0,0.0,59.0,59.0,12327369.0,208981.0,4750609.0,7576760.0,422.1,1,0,1,19.0
6.0,1.0,51976.0,0.0,42.0,84.09999847,4294116.0,50350.0,1663343.0,2630770.0,146.6,1,1,1,112.0
2.0,1.0,55653.0,0.0,0.0,31.20000076,1772465.0,55500.0,454347.0,1318120.0,71.9,1,1,1,93.0
16.0,1.0,106860.0,0.0,99.0,50.09999847,5358639.0,106860.0,2818049.0,2540590.0,146.6,1,1,2,90.0
5.0,1.0,50759.0,0.0,23.0,74.09999847,3801152.0,47079.0,2447367.0,1353780.0,82.0,1,0,1,49.0
2.0,1.0,56772.0,0.0,41.0,43.90000153,2541218.0,56772.0,1019502.0,1521720.0,85.0,1,1,0,69.0
3.0,1.0,87250.0,0.0,53.0,51.20000076,4573700.0,87250.0,1524022.0,3049680.0,168.3,1,1,0,69.0
3.0,1.0,269297.0,0.0,71.0,46.40000153,12903111.0,274673.0,6730965.0,6172150.0,355.7,1,1,1,15.0
3.0,1.0,75174.0,0.0,55.0,44.5,3585568.0,79345.0,1565315.0,2020250.0,113.8,1,1,1,20.0
3.0,1.0,75214.0,0.0,33.0,49.59999847,3749637.0,75246.0,2124103.0,1625530.0,95.1,1,0,1,18.0
3.0,1.0,134918.0,0.0,74.0,30.10000038,4686428.0,154951.0,3835166.0,851260.0,61.1,1,0,1,16.0
2.0,1.0,64414.0,0.0,31.0,43.20000076,2792988.0,63481.0,2792988.0,0.0,11.6,1,1,1,30.0
3.0,1.0,92437.0,0.0,25.0,83.69999695,7365562.0,87927.0,842832.0,6522730.0,349.9,1,1,1,94.0
7.0,1.0,166570.0,0.0,0.0,59.5,7970269.0,109754.0,1981216.0,5989050.0,326.3,1,1,1,107.0
9.0,1.0,107572.0,0.0,84.0,39.70000076,4020211.0,63934.0,2030949.0,0.0,173.5,1,1,1,108.0
15.0,1.0,208328.0,0.0,0.0,267.6000061,54317328.0,203000.0,54317334.0,0.0,224.7,1,1,1,66.0
4.0,1.0,56617.0,0.0,44.0,31.20000076,1794802.0,56617.0,1128722.0,666080.0,40.0,0,0,1,104.0
6.0,1.0,56745.0,0.0,53.0,61.29999924,2697731.0,43673.0,1702070.0,995660.0,59.9,1,0,1,12.0
4.0,1.0,67920.0,0.0,0.0,53.70000076,2375723.0,24600.0,2258468.0,117260.0,15.6,0,1,1,18.0
3.0,1.0,204961.0,0.0,92.0,27.5,6015762.0,219368.0,3900544.0,2115220.0,128.5,1,1,1,14.0
1.0,1.0,76086.0,0.0,37.0,47.79999924,3764551.0,55000.0,1524368.0,2240180.0,125.3,1,0,1,48.0
5.0,1.0,151000.0,39000.0,0.0,188.8999939,29125312.0,75627.0,17880371.0,11244940.0,671.2,1,0,2,94.0
4.0,1.0,122309.0,0.0,41.0,150.3000031,18285032.0,122309.0,5067775.0,13217259.0,722.9,1,1,2,60.0
3.0,3.0,217088.0,0.0,0.0,148.8999939,32191814.0,96648.0,21592091.0,10599720.0,652.3,2,1,2,26.0
8.0,1.0,215473.0,38800.0,67.0,79.0,20034490.0,254273.0,10518660.0,9515830.0,548.9,1,1,2,18.0
2.0,1.0,53365.0,0.0,0.0,291.7000122,20150314.0,69400.0,11199883.0,8950430.0,521.7,1,1,1,41.0
1.0,1.0,62900.0,0.0,0.0,109.6999969,7213252.0,32494.0,3197062.0,4016190.0,226.5,1,1,1,121.0
4.0,1.0,46620.0,0.0,90.0,35.79999924,1453163.0,33000.0,557012.0,0.0,76.7,1,1,1,107.0
4.0,1.0,44132.0,159372.0,77.0,15.30000019,3131598.0,159372.0,2482665.0,648930.0,44.7,1,1,1,13.0
3.0,1.0,74003.0,26731.0,21.0,127.8000031,9455053.0,74003.0,9455055.0,0.0,39.1,1,1,1,53.0
4.0,1.0,59158.0,18504.0,68.0,68.90000153,4317896.0,62108.0,3164863.0,1153030.0,74.3,1,1,1,40.0
12.0,1.0,212210.0,21790.0,44.0,75.40000153,14601343.0,159821.0,13445317.0,1156020.0,117.0,1,1,1,43.0
4.0,1.0,111077.0,0.0,0.0,91.30000305,15184363.0,166313.0,14483264.0,701097.0,97.2,1,1,1,32.0
25.0,1.0,389150.0,127192.0,79.0,37.79999924,14722895.0,389582.0,14722896.0,0.0,60.9,1,1,1,32.0
10.0,1.0,693450.0,0.0,89.0,50.20000076,34799348.0,361107.0,33065743.0,1731220.0,228.9,1,1,1,96.0
33.0,1.0,791396.0,0.0,81.0,44.09999847,34273792.0,759627.0,20794901.0,13478891.0,801.9,1,1,1,45.0
23.0,1.0,542671.0,205076.0,87.0,39.5,21928418.0,542461.0,21601546.0,326870.0,106.7,1,1,1,21.0
10.0,1.0,55652.0,7757.0,77.0,59.70000076,3742033.0,63409.0,928622.0,0.0,237.4,1,1,1,95.0
17.0,1.0,174790.0,30000.0,96.0,32.90000153,5774209.0,142034.0,4138265.0,1635940.0,104.0,1,1,1,91.0
5.0,1.0,73399.0,0.0,82.0,36.90000153,2736240.0,54615.0,2736240.0,0.0,11.3,1,1,1,105.0
20.0,1.0,233517.0,32334.0,77.0,69.09999847,16234319.0,237261.0,6419405.0,0.0,841.3,1,1,1,52.0
25.0,1.0,529375.0,228668.0,92.0,33.90000153,18170956.0,530127.0,18170957.0,0.0,75.2,1,1,1,12.0
12.0,1.0,190642.0,0.0,86.0,52.90000153,10307431.0,190437.0,5210711.0,0.0,444.6,1,1,1,53.0
36.0,1.0,669915.0,154972.0,81.0,44.29999924,32910994.0,743562.0,32765528.0,145470.0,143.3,1,1,1,12.0
16.0,1.0,339240.0,141600.0,90.0,40.0,13540875.0,311736.0,13451315.0,89560.0,60.4,1,1,1,31.0
11.0,1.0,230638.0,68432.0,0.0,233.1000061,58116100.0,250000.0,27327018.0,30789081.0,1748.3,1,1,1,17.0
7.0,1.0,89550.0,0.0,89.0,37.09999847,3392168.0,79295.0,2925133.0,0.0,50.9,1,1,1,121.0
15.0,1.0,388934.0,0.0,85.0,33.0,11207250.0,335972.0,8362293.0,0.0,270.7,1,1,1,99.0
22.0,1.0,384302.0,0.0,83.0,29.89999962,11208845.0,367709.0,11208843.0,0.0,46.4,1,1,1,92.0
17.0,1.0,293925.0,84600.0,79.0,76.90000153,19199364.0,247161.0,10732289.0,8467070.0,494.1,1,1,1,63.0
47.0,1.0,1323055.0,0.0,85.0,30.70000076,33993732.0,1088855.0,33993729.0,0.0,140.6,1,1,1,38.0
41.0,1.0,460489.0,129432.0,88.0,34.70000076,17007542.0,479650.0,17007540.0,0.0,70.4,1,1,1,35.0
8.0,1.0,87315.0,60357.0,81.0,46.40000153,4052248.0,87315.0,4052248.0,0.0,16.8,1,1,1,53.0
29.0,1.0,438072.0,197231.0,92.0,32.09999847,15956691.0,496939.0,15749993.0,0.0,82.3,1,1,1,30.0
6.0,1.0,146922.0,25920.0,0.0,193.0,26917312.0,99890.0,24785437.0,2131880.0,215.8,1,1,1,63.0
34.0,1.0,614158.0,162604.0,81.0,40.0,24407816.0,606050.0,24166831.0,240990.0,112.8,1,1,1,41.0
